id;description;temp;vel;stretch;stress
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,765607392;362656,7178
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,798439261;365250,861
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,83127113;369142,0758
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,864102999;373033,2906
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,898866155;376924,5054
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,931698024;380815,7202
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,964529893;383409,8634
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,997361762;386004,0066
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,989153795;354874,2882
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,956321926;312070,9253
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,92155877;277049,9921
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,888726901;245920,2737
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,855895032;213493,4837
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,823063163;184957,9085
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,790231294;161610,6197
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,755468138;140857,4741
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,722636269;121401,4
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,6898044;103242,3976
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,65697253;87677,53843
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,622209375;70815,60763
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,589377506;52656,60522
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,556545637;38388,81761
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,523713767;24121,03
1004;0ºC, 0.1s-1, 100%;273,15;0,1;1,490010515;5649,717514
1005;0ºC, 0.05s-1, 100%;273,15;0,05;1,000335147;1098,009094
1005;0ºC, 0.05s-1, 100%;273,15;0,05;1,033167016;71139,87553
1005;0ºC, 0.05s-1, 100%;273,15;0,05;1,065998886;108754,9519
1005;0ºC, 0.05s-1, 100%;273,15;0,05;1,098830755;130805,1692
1005;0ºC, 0.05s-1, 100%;273,15;0,05;1,131662624;150261,2432
1005;0ºC, 0.05s-1, 100%;273,15;0,05;1,16642578;168420,2456
1005;0ºC, 0.05s-1, 100%;273,15;0,05;1,199257649;180093,89
1005;0ºC, 0.05s-1, 100%;273,15;0,05;1,232089518;191767,5344
1005;0ºC, 0.05s-1, 100%;273,15;0,05;1,264921387;200847,0356
1005;0ºC, 0.05s-1, 100%;273,15;0,05;1,299684543;207332,3936
1005;0ºC, 0.05s-1, 100%;273,15;0,05;1,332516412;215114,8232
1005;0ºC, 0.05s-1, 100%;273,15;0,05;1,365348281;224194,3244
1005;0ºC, 0.05s-1, 100%;273,15;0,05;1,39818015;230679,6824
1005;0ºC, 0.05s-1, 100%;273,15;0,05;1,432943306;237165,0404
1005;0ºC, 0.05s-1, 100%;273,15;0,05;1,465775175;242353,3268
1005;0ºC, 0.05s-1, 100%;273,15;0,05;1,498607044;247541,6132
1005;0ºC, 0.05s-1, 100%;273,15;0,05;1,531438913;251432,828
